node,group,user
n001,0,None
n002,0,None
n003,0,None
n004,0,None
n005,0,None
n006,0,None
n007,0,None
n008,0,None
n009,0,None
n010,0,None
n011,0,None
n012,0,None
n013,0,None
n014,0,None
n015,0,None
n016,0,None
n017,0,None
n018,0,None
n019,0,None
n020,0,None
n021,0,None
n022,0,None
n023,0,None
n024,0,None
n025,0,None
n026,0,None
n027,0,None
n028,0,None
n029,0,None
n030,0,None
n031,0,None
n032,0,None
n033,0,None
n034,0,None
n035,0,None
n036,0,None
n037,0,None
n038,0,None
n039,0,None
n040,0,None
n041,0,None
n042,0,None
n043,0,None
n044,0,None
n045,0,None
n046,0,None
n047,1,choah
n048,1,choah
n049,1,choah
n050,1,choah
n051,1,ingrid1226
n052,1,ingrid1226
n053,1,ingrid1226
n054,1,ingrid1226
n055,1,hmj0327
n056,1,hmj0327
n057,1,hmj0327
n058,1,hmj0327
n059,1,jye.park
n060,1,jye.park
n061,1,jye.park
n062,1,jye.park
n063,1,kjy0825
n064,1,kjy0825
n065,1,kjy0825
n066,2,
n067,2,
n068,2,
n069,2,hsj1021
n070,2,hsj1021
n071,2,hsj1021
n072,2,hsj1021
n073,2,ju9407
n074,2,ju9407
n075,2,ju9407
n076,2,ju9407
n077,2,singsingi
n078,2,singsingi
n079,2,singsingi
n080,2,poong
n081,2,poong
n082,2,poong
n083,2,
n084,2,
n085,3,nikes
n086,3,nikes
n087,3,
n088,3,taowei0817
n089,3,taowei0817
n090,3,taowei0817
n091,3,mka1203
n092,3,mka1203
n093,3,mka1203
n094,3,jungsdao
n095,3,soyong
